"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0911","AlpE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52480","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0913","MgtE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52460","Mg transporter MgtE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0914","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52440","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0918","cytochrome b561","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52380","cytochrome b561",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0920","alanyl-phosphatidylglycerol synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52350","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0922","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52330","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0926","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52280","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0928","sensor/response regulator hybrid","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52260","sensor/response regulator hybrid",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0929","two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52250","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0932","cysteine synthase B","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52210","cysteine synthase B",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0934","GTP pyrophosphokinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52180","GTP pyrophosphokinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0941","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52080","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0944","phosphoribosylaminoimidazole synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_52050","phosphoribosylglycinamide formyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0950","probable arsenate reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51980","arsenate reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0956","prolyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51900","prolyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0957","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51890","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0961","probable cold-shock protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51840","cold-shock protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0962","DNA-binding protein from starved cells, Dps","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51830","DNA-binding stress protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0963","aspartyl-tRNA synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51820","aspartyl-tRNA synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0964","pqsR-mediated PQS regulator, PmpR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51810","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0965","Holliday junction resolvase RuvC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51800","Holliday junction resolvase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0966","Holliday junction DNA helicase RuvA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51790","Holliday junction DNA helicase RuvA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0967","Holliday junction DNA helicase RuvB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51780","Holliday junction DNA helicase RuvB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0970","TolR protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51740","TolR protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0972","TolB protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51720","translocation protein TolB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0974","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51690","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0982","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_59960","DsbA2",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0984","colicin immunity protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_59230","colicin immunity protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0988","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0989","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51500","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0995","methylated-DNA--protein-cysteine methyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51440","methylated-DNA--protein-cysteine methyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0997","PqsB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51420","PqsB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0998","PqsC","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51410","PqsC",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1000","Quinolone signal response protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51380","quinolone signal response protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1001","anthranilate synthase component I","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51360","anthranilate synthase component I",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1002","anthranilate synthase component II","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51350","anthranilate synthase component II",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1003","Transcriptional regulator MvfR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51340","transcriptional regulator MvfR",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1004","quinolinate synthetase A","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51330","quinolinate synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1006","Protein PA1006","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51310","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1010","dihydrodipicolinate synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51270","dihydrodipicolinate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1014","1,2-glucosyltransferase WapB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51220","glycosyl transferase family protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1016","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51190","thiolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1019","cis,cis-muconate transporter MucK","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51150","cis,cis-muconate transporter MucK",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1020","probable acyl-CoA dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51120","acyl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1021","probable enoyl-CoA hydratase/isomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51110","enoyl-CoA hydratase/isomerase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1023","probable short-chain dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51090","short-chain dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1024","NADH:quinone reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51080","dioxygenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1026","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51060","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1027","delta1-Piperideine-6-carboxylate dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51050","aldehyde dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1030","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1031","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_51000","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1032","QuiP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50980","penicillin amidase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1034","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50950","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1037","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50920","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1040","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50890","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1044","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50850","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1045","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50840","ATP-dependent DNA helicase DinG",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1047","probable esterase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50820","esterase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1053","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50740","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1054","ShaA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50730","ShaF",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1058","ShaE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50690","ShaB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1063","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50640","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1065","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50620","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1066","probable short-chain dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50610","short chain dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1068","probable heat shock protein (hsp90 family)","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50590","HSP90 family protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1069","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50570","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1070","branched-chain amino acid transport protein BraG","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50560","branched-chain amino acid transport protein BraG",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1072","branched-chain amino acid transport protein BraE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50540","leucine/isoleucine/valine transporter permease subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1073","branched-chain amino acid transport protein BraD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50530","branched-chain amino acid transport protein BraD",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1075","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1077","flagellar basal-body rod protein FlgB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50480","flagellar basal body rod protein FlgB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1079","flagellar basal-body rod modification protein FlgD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50460","flagellar basal body rod modification protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1082","flagellar basal-body rod protein FlgG","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50430","flagellar basal body rod protein FlgG",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1089","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50320","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1091","flagellar glycosyl transferase, FgtA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50300","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1093","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50280","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1094","flagellar capping protein FliD","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50270","flagellar capping protein FliD",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1097","transcriptional regulator FleQ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50220","transcriptional regulator FleQ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1098","two-component sensor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50200","two-component sensor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1099","two-component response regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50180","two-component response regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1100","flagellar hook-basal body complex protein FliE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50160","flagellar hook-basal body protein FliE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1101","Flagella M-ring outer membrane protein precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50140","flagellar MS-ring protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1104","flagellum-specific ATP synthase FliI","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50100","flagellum-specific ATP synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1105","flagellar protein FliJ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50080","flagellar biosynthesis chaperone",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1107","RoeA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50060","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1108","probable major facilitator superfamily (MFS) transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50050","MFS family transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1109","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50040","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1110","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1111","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_50020","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1113","ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49970","ABC transporter ATP-binding protein/permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1114","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49960","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1115","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49940","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1116","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49930","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1117","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49920","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1119","YfiB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49900","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1121","YfiR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49880","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1122","putative peptide deformylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49870","peptide deformylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1123","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49850","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1125","probable cobalamin biosynthetic protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49820","cobalamin biosynthetic protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1126","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49810","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1127","probable oxidoreductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49800","oxidoreductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1129","fosfomycin resistance protein, FosA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49780","fosfomycin resistance protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA1133","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_49730","hypothetical protein",""
